1,Debor,51,73,79,203,67
2,Carolyne,72,98,65,235,78
3,Cornell,53,60,86,199,66
4,Roslyn,72,60,97,229,76
5,Gunner,78,83,63,224,74
6,Griz,92,83,79,254,84
7,Ida,69,72,85,226,75
8,Standford,68,67,67,202,67
9,Pier,57,84,96,237,79
10,Kelsey,76,81,70,227,75
11,Mariel,92,59,79,230,76
12,Kathlin,60,58,87,205,68
13,Quinton,58,87,67,212,70
14,Alaric,50,72,56,178,59
15,Mariel,79,67,67,213,71
16,Thorstein,100,51,72,223,74
17,Link,99,98,80,277,92
18,Dag,86,59,67,212,70
19,Harmony,89,74,66,229,76
20,Amata,52,52,57,161,53
